policy,regime,vud,correct_utility_per_task,far,severity_weighted_far,acceptance_coverage,correct_acceptance_rate,failure_declaration_rate,cost_per_task,cost_per_correct_task,deadline_miss_rate,budget_violation_rate,scheduler_overhead_seconds,stale_evidence_invalidations,accepted,false_accepts,tasks,far_upper_95
epsilon_bandit,high_modeled_correlation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5844535901735406,876.6803852603109,0.0,0.0,0.19836820204363903,30.0,0.0,0.0,1500.0,1.0
epsilon_bandit,high_repair_regression,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5801031181086561,580.1031181086561,0.0,0.0,0.1258379659102502,10.0,0.0,0.0,1000.0,1.0
epsilon_bandit,high_task_difficulty,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5829442716971631,874.4164075457447,0.0,0.0,0.19221167595787847,25.0,0.0,0.0,1500.0,1.0
epsilon_bandit,low_monetary_budgets,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579916167025836,869.874250538754,0.0,0.0,0.20619901604186452,29.0,0.0,0.0,1500.0,1.0
epsilon_bandit,missing_causal_overlap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5917051205339867,591.7051205339867,0.002,0.0,0.1330045490012708,30.0,0.0,0.0,1000.0,1.0
epsilon_bandit,noisy_verifiers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5882261525622214,882.3392288433322,0.0,0.0,0.19186350910604233,30.0,0.0,0.0,1500.0,1.0
epsilon_bandit,pareto_cost_duration,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4604740172208551,460.4740172208551,0.01,0.0,0.16006021500106726,11.0,0.0,0.0,1000.0,1.0
epsilon_bandit,shared_specification_trap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5781549419374564,578.1549419374564,0.0,0.0,0.12724513295506767,13.0,0.0,0.0,1000.0,1.0
epsilon_bandit,tight_deadlines,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5844971529289845,876.7457293934767,0.013333333333333334,0.0,0.18262374394544167,26.0,0.0,0.0,1500.0,1.0
epsilon_bandit,verifier_degradation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5820311929829788,582.0311929829788,0.0,0.0,0.12712066296990088,21.0,0.0,0.0,1000.0,1.0
